"","scen","range","pct","area.pct","Pothole"
"316","Drain03","nine",0.12,0.9,"Bunny"
"317","Drain0CT","nine",0.2,0.9,"Bunny"
"318","Drain0NT","nine",0.2,0.9,"Bunny"
"319","Drain1NT","nine",0.16,0.9,"Bunny"
"320","Drain1Retired","nine",0.16,0.9,"Bunny"
"321","Drain1RetiredAll","nine",0.04,0.9,"Bunny"
"322","Drain1RetiredCT","nine",0.16,0.9,"Bunny"
"323","Drain1RetiredNT","nine",0.12,0.9,"Bunny"
"324","Drain2NT","nine",0.12,0.9,"Bunny"
"325","Drain2Retired","nine",0.16,0.9,"Bunny"
"326","Drain2RetiredAll","nine",0.04,0.9,"Bunny"
"327","Drain2RetiredCT","nine",0.16,0.9,"Bunny"
"328","Drain2RetiredNT","nine",0.12,0.9,"Bunny"
"329","Drain3NT","nine",0.12,0.9,"Bunny"
"330","Drain3Retired","nine",0.12,0.9,"Bunny"
"331","Drain3RetiredAll","nine",0.04,0.9,"Bunny"
"332","Drain3RetiredCT","nine",0.16,0.9,"Bunny"
"333","Drain3RetiredNT","nine",0.12,0.9,"Bunny"
"334","NoTillRetired","nine",0.2,0.9,"Bunny"
"335","PlantDate01","nine",0.12,0.9,"Bunny"
"336","PlantDate02","nine",0.16,0.9,"Bunny"
"337","PlantDate03","nine",0.16,0.9,"Bunny"
"338","PlantDate04","nine",0.16,0.9,"Bunny"
"339","RetiredAll","nine",0.08,0.9,"Bunny"
"340","RetiredPothole","nine",0.2,0.9,"Bunny"
"341","Base","ten",0.12,1,"Bunny"
"342","ConTillDrain01","ten",0.12,1,"Bunny"
"343","ConTillDrain02","ten",0.12,1,"Bunny"
"344","ConTillDrain03","ten",0.08,1,"Bunny"
"345","ConTillRetired","ten",0.16,1,"Bunny"
"346","CoverCrop","ten",0.08,1,"Bunny"
"347","Drain0","ten",0.2,1,"Bunny"
"348","Drain01","ten",0.12,1,"Bunny"
"349","Drain02","ten",0.12,1,"Bunny"
"350","Drain03","ten",0.12,1,"Bunny"
"351","Drain0CT","ten",0.16,1,"Bunny"
"352","Drain0NT","ten",0.12,1,"Bunny"
"353","Drain1NT","ten",0.08,1,"Bunny"
"354","Drain1Retired","ten",0.12,1,"Bunny"
"355","Drain1RetiredAll","ten",0.04,1,"Bunny"
"356","Drain1RetiredCT","ten",0.12,1,"Bunny"
"357","Drain1RetiredNT","ten",0.08,1,"Bunny"
"358","Drain2NT","ten",0.08,1,"Bunny"
"359","Drain2Retired","ten",0.12,1,"Bunny"
"360","Drain2RetiredAll","ten",0.04,1,"Bunny"
"361","Drain2RetiredCT","ten",0.08,1,"Bunny"
"362","Drain2RetiredNT","ten",0.08,1,"Bunny"
"363","Drain3NT","ten",0.08,1,"Bunny"
"364","Drain3Retired","ten",0.12,1,"Bunny"
"365","Drain3RetiredAll","ten",0.04,1,"Bunny"
"366","Drain3RetiredCT","ten",0.08,1,"Bunny"
"367","Drain3RetiredNT","ten",0.04,1,"Bunny"
"368","NoTillRetired","ten",0.12,1,"Bunny"
"369","PlantDate01","ten",0.12,1,"Bunny"
"370","PlantDate02","ten",0.12,1,"Bunny"
"371","PlantDate03","ten",0.12,1,"Bunny"
"372","PlantDate04","ten",0.12,1,"Bunny"
"373","RetiredAll","ten",0.04,1,"Bunny"
